2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,503 [INFO] Transformed offer | poste='Data scientist' | societe='Innova Solutions' | lieu='Sceaux, Antony' | contrat=None | seniorite=None | tech=3
2026-04-19 01:30:17,505 [INFO] Transformed offer | poste='Consultant Risk Data Analyst / Data Scientist F/H' | societe='Deloitte' | lieu='Hauts-de-Seine, Ile-de-France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,506 [INFO] Transformed offer | poste='Data Scientist / Machine Learning Engineer (H/F)' | societe='FAB Group' | lieu='Pyrénées-Atlantiques, Nouvelle-Aquitaine' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,508 [INFO] Transformed offer | poste='Ingénieur IA-Big Data (H/F)Ingénieur IA-Big Data (H/F) (CDI)' | societe='Les Colettes Sourcing' | lieu='Seine-Maritime, Normandie' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,509 [INFO] Transformed offer | poste='Data Scientist - Machine Learning - Automobile' | societe='Mp Data' | lieu='Saint-Cloud, Boulogne-Billancourt' | contrat=None | seniorite=None | tech=2
2026-04-19 01:30:17,511 [INFO] Transformed offer | poste='Data and Analytics Director' | societe='SoTalent' | lieu='Hauts-de-Seine, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,512 [INFO] Transformed offer | poste='Data Engineer' | societe='Capgemini' | lieu='4ème-Arrondissement, Lyon' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,514 [INFO] Transformed offer | poste='Data Scientist – Machine Deep learning' | societe='Davidson Consulting' | lieu='Indre-et-Loire, Centre' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,515 [INFO] Transformed offer | poste='Data Scientist – Machine Deep learning' | societe='Davidson Consulting' | lieu='Loiret, Centre' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,517 [INFO] Transformed offer | poste='Data Scientist – Machine Deep learning' | societe='Davidson Consulting' | lieu='Sarthe, Pays de la Loire' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,518 [INFO] Transformed offer | poste='Data Engineer Cloud- H/F' | societe='Synchrone Fr' | lieu='Ile-de-France, France' | contrat=CDI | seniorite=None | tech=1
